storeId,Formato,Nombre,address,comuna,region
679,OKM,OKM SANTA BEATRIZ,SANTA BEATRIZ #50,SANTIAGO,RM - Santiago
680,OKM,OKM NUEVA LAS CONDES,AV. PRESIDENTE RIESCO #5561 LOCAL 101,SANTIAGO,RM - Santiago
689,OKM,OKM MERCED,SAN ANTONIO #412,SANTIAGO,RM - Santiago
690,OKM,OKM LOS INGLESES,CAMINO A CHICUREO S/N,HUECHURABA,RM - Santiago
692,OKM,OKM RIESCO BENJAMIN,BENJAMIN 2956,LAS CONDES,RM - Santiago
693,OKM,OKM DIEGO DE ALMAGRO,EL BOSQUE #2108,PROVIDENCIA,RM - Santiago
694,OKM,OKM NATANIEL COX,NATANIEL COX #177,SANTIAGO,RM - Santiago
695,OKM,OKM NUEVA PROVIDENCIA,PEDRO DE VALDIVIA # 28,PROVIDENCIA,RM - Santiago
696,OKM,OKM COQUIMBO,VICUÑA MACKENNA 869 LOCAL 4,SANTIAGO,RM - Santiago
697,OKM,OKM LAS LILAS,ELEODORO YAÑEZ #2881,SANTIAGO,RM - Santiago
698,OKM,OKM SANTA ISABEL,AV. SANTA ISABEL #1131,SANTIAGO,RM - Santiago
699,OKM,OKM EL PARQUE,AV. VALLE 4023,SANTIAGO,RM - Santiago
701,OKM,OKM IRARRAZAVAL,AV. IRARRAZAVAL 4949,ÑUÑOA,RM - Santiago
792,OKM,OKM VILLUCO,VILLUCO #1557,CHIGUAYANTE,VIII - Del  Bio-bio
793,OKM,OKM BARROS,BARROS ARANA #1557,CONCEPCION,VIII - Del  Bio-bio
796,OKM,OKM ACACIOS,LOS ACACIOS #96,SAN PEDRO DE LA PAZ,VIII - Del  Bio-bio
950,OKM,OKM ESCUELA MILITAR,APOQUINDO #4554,LAS CONDES,RM - Santiago
951,OKM,OKM CONDELL,PROVIDENCIA #375,SANTIAGO,RM - Santiago
952,OKM,OKM DIEGO PORTALES,DIEGO PORTALES #1001,SANTIAGO,V - Valparaiso
985,OKM,OKM MARKET APOQUINDO,AV. APOQUINDO # 3039,LAS CONDES,RM - Santiago
986,OKM,OKM METRO COLON,AV. TOBALABA #1375,ÑUÑOA,RM - Santiago
987,OKM,OKM CATEDRAL,"CATEDRAL #1288, LOCAL 2-3-4",SANTIAGO,RM - Santiago
988,OKM,OKM JARAMILLO,VITACURA #3595,SANTIAGO,RM - Santiago
989,OKM,OKM TOESCA,TOESCA #1844,SANTIAGO,RM - Santiago
990,OKM,OKM MARCOLETA,"DIAGONAL PARAGUAY,NRO: 406 DPTO. 1A-1B",SANTIAGO,RM - Santiago
991,OKM,OKM MACUL,MACUL #2841 LOCAL 2,MACUL,RM - Santiago
992,OKM,OKM VICUÑA MACKENNA ORIENTE,VICUÑA MACKENNA ORIENTE 7492,SANTIAGO,RM - Santiago
996,OKM,OKM MAITENCILLO,CENTRAL 1328,VALPARAISO,V - Valparaiso
997,OKM,OKM CARMEN SANTA ISABEL,CARMEN 464,SANTIAGO,RM - Santiago
998,OKM,OKM STRIP LARRAIN,LOS MAITENES 26 LOCAL B,SANTIAGO,RM - Santiago
